OBJECTID,NAME_2,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
220,Buffalo,220,8860,0.615277772856000,0,63,63,4.724153498870000,8.280139086400000,41856.000000000000000,61,0,49,0
221,Bullitt,221,1147,0.079652777140600,0,61,61,18.213600697499999,15.611808616899999,20891.000000000000000,58,5,48,11
222,Bulloch,222,2454,0.170416665303000,0,62,62,10.853708231500001,12.258198880500000,26635.000000000000000,60,6,46,7
223,Bullock,223,2244,0.155833332087000,0,42,42,1.422905525850000,4.527577542440000,3193.000000000000000,36,0,24,0
224,Buncombe,224,2448,0.169999998640000,0,63,63,19.178921568600000,19.369131330799998,46950.000000000000000,61,0,63,11
225,Bureau,225,3516,0.244166664713000,0,58,58,8.361490329920001,8.217941916170000,29399.000000000000000,55,6,54,6
226,Burke,226,10153,0.705069438804000,0,63,63,8.050526937850000,10.217062492200000,81737.000000000000000,61,0,56,6
227,Burleigh,227,7351,0.510486107027000,0,63,63,5.248129506190000,11.873851815200000,38579.000000000000000,61,0,52,0
228,Burleson,228,2359,0.163819443134000,0,57,57,4.533700720640000,7.249419172260000,10695.000000000000000,50,0,28,0
229,Burlington,229,3238,0.224861109312000,0,63,63,27.745830759699999,22.551853766600001,89841.000000000000000,61,5,44,20
