OBJECTID,NAME_2,ZONE_CODE,COUNT_nl,AREA_nl,MIN_nl,MAX_nl,RANGE_nl,MEAN_nl,STD_nl,SUM_nl,VARIETY_nl,MAJORITY_nl,MINORITY_nl,MEDIAN_nl,COUNT_P,AREA_p,MIN_pop,MAX_pop,RANGE_pop,MEAN_pop,STD_pop,SUM_pop
111,Bates,111,3257,0.226180554,0,56,56,2.64138778,5.697769843,8603,44,0,30,0,35365,2210312500,0,177.8809204,177.8809204,0.477882759,3.803197407,16900.32377
112,Bath,112,3146,0.21847222,0,34,34,1.722186904,3.936123451,5418,29,0,22,0,34031,2126937500,0,309.6499023,309.6499023,0.478307424,4.441702997,16277.27996
113,Baxter,113,2181,0.151458332,0,61,61,6.051811096,9.990347137,13199,57,0,29,5,24271,1516937500,0,348.0434265,348.0434265,1.759846437,8.600792037,42713.23288
114,Bay,114,4609,0.320069442,0,63,63,16.01714038,17.70899531,73823,61,0,54,9,50884,3180250000,0,887.7649536,887.7649536,5.567308036,20.78906481,283286.9021
115,Bayfield,115,6604,0.458611107,0,34,34,1.90233192,3.937926985,12563,30,0,27,0,62421,3901312500,0,124.3236847,124.3236847,0.227246847,2.058364087,14184.97544
116,Baylor,116,3288,0.228333332,0,45,45,0.482055961,3.312538909,1585,35,0,14,0,37730,2358125000,0,80.08453369,80.08453369,0.093330948,1.755876089,3521.376661
117,Beadle,117,5311,0.368819441,0,63,63,2.289587648,7.030833111,12160,58,0,4,0,52315,3269687500,0,205.6438904,205.6438904,0.332907778,4.788606061,17416.07043
118,Bear Lake,118,4239,0.294374998,0,44,44,1.059683888,3.564917125,4492,34,0,23,0,43510,2719375000,0,123.3248138,123.3248138,0.13279841,1.998872509,5778.058828
119,Beaufort,119,5234,0.363472219,0,62,62,10.74742071,13.78345335,56252,60,0,61,6,59014,3688375000,0,489.5768738,489.5768738,3.959997624,15.80119361,233695.2998
120,Beauregard,120,4121,0.286180553,0,60,60,4.885222033,7.083012307,20132,57,0,27,5,48553,3034562500,0,523.9885254,523.9885254,0.767768144,5.73704009,37277.44668
121,Beaver,121,18431,1.279930545,0,60,60,3.243882589,9.620950036,59788,58,0,60,0,199960,12497500000,0,477.9167175,477.9167175,0.881386612,7.998821396,176242.067
122,Beaverhead,122,23750,1.649305542,0,54,54,0.243326316,2.044399973,5779,41,0,17,0,230641,14415062500,0,208.0974274,208.0974274,0.039761343,1.357286562,9170.595878
123,Becker,123,6331,0.439652774,0,62,62,5.153056389,8.699503418,32624,59,0,41,0,59588,3724250000,0,229.6694183,229.6694183,0.559447706,4.563370147,33336.3699
124,Beckham,124,3379,0.234652776,0,62,62,4.741343593,10.75652598,16021,60,0,57,0,37701,2356312500,0,1691.514404,1691.514404,0.613720225,10.30426982,23137.86622
125,Bedford,125,8705,0.604513884,0,62,62,7.402067777,8.578165534,64435,60,0,52,6,94020,5876250000,0,400.9179382,400.9179382,1.811577572,8.229022739,170324.5233
126,Bedford City,126,33,0.002291667,29,59,30,48.06060606,7.992190863,1586,19,48,29,48,355,22187500,0,142.5367889,142.5367889,19.23648227,24.15806006,6828.951206
127,Bee,127,3062,0.212638887,0,61,61,4.122468975,9.409527846,12623,57,0,38,0,37093,2318312500,0,2179.046631,2179.046631,0.843534379,20.05240828,31289.22072
128,Belknap,128,1938,0.134583332,0,57,57,13.91950464,11.09540768,26976,54,7,57,9,19394,1212125000,0,286.7711182,286.7711182,3.173803205,12.83677452,61552.73936
129,Bell,129,5181,0.359791664,0,63,63,13.21212121,17.75443095,68452,61,0,4,7,60185,3761562500,0,814.7861328,814.7861328,6.287746095,27.8453043,378427.9988
130,Belmont,130,2139,0.148541665,0,60,60,15.98644226,12.57134119,34195,57,9,55,11,22538,1408625000,0,409.688385,409.688385,3.096826233,14.34811108,69796.26964
131,Beltrami,131,13761,0.955624992,0,61,61,2.188867088,6.742893911,30121,58,0,36,0,126787,7924187500,0,566.0906982,566.0906982,0.366495994,4.772740668,46466.92755
132,Ben Hill,132,901,0.062569444,0,61,61,6.823529412,12.54695692,6148,55,0,26,0,10541,658812500,0,263.3414307,263.3414307,1.666672863,9.219690033,17568.39865
133,Benewah,133,3478,0.241527776,0,42,42,1.461759632,4.23560085,5084,35,0,4,0,32568,2035500000,0,159.0274506,159.0274506,0.284770171,3.224576176,9274.39494
134,Bennett,134,4931,0.342430553,0,42,42,0.403163658,2.684011209,1988,33,0,19,0,49790,3111875000,0,118.1031036,118.1031036,0.068033965,1.520549503,3387.41113
135,Bennington,135,2811,0.195208332,0,52,52,5.151903237,6.971460276,14482,46,0,37,5,28254,1765875000,0,263.2594604,263.2594604,1.30794428,7.926167946,36954.65768
136,Benson,136,6471,0.449374996,0,37,37,1.887188997,4.143978992,12212,33,0,31,0,59254,3703375000,0,123.8372421,123.8372421,0.108941199,1.903726287,6455.201805
137,Bent,137,5855,0.406597219,0,49,49,0.432450897,2.775057699,2532,35,0,15,0,64026,4001625000,0,447.3734741,447.3734741,0.104659748,3.573567197,6700.945022
138,Benton,138,25970,1.803472208,0,63,63,8.15109742,12.1888381,211684,61,0,52,6,267120,16695000000,0,1426.947144,1426.947144,2.482551606,16.37722381,663139.1851
139,Benzie,139,1469,0.102013888,0,34,34,6.232130701,5.6570855,9155,31,0,30,6,14354,897125000,0,146.0353546,146.0353546,1.262682985,5.920554129,18124.55156
140,Bergen,140,989,0.068680555,18,63,45,61.5156724,5.757573557,60839,35,63,18,63,10323,645187500,0,1962.043945,1962.043945,88.98218656,127.5320974,918563.1119
141,Berkeley,141,5725,0.397569441,0,63,63,15.64611354,17.53545641,89574,61,0,4,8,64895,4055937500,0,1492.487549,1492.487549,4.890058443,22.48989935,317340.3427
142,Berks,142,3427,0.237986109,6,63,57,26.66705573,15.86613381,91388,58,12,50,22,35939,2246187500,0,1474.912964,1474.912964,11.88544051,45.475422,427150.8465
143,Berkshire,143,3882,0.269583331,0,60,60,11.57393096,11.22757978,44930,58,6,4,7,39372,2460750000,0,459.2565918,459.2565918,3.254219727,15.64776054,128125.1391
144,Bernalillo,144,4341,0.301458331,0,63,63,17.49919373,22.20715255,75964,61,0,47,6,48512,3032000000,0,979.3366089,979.3366089,14.793696,50.64842497,717671.7803
145,Berrien,145,3964,0.275277776,0,62,62,15.01160444,15.06133999,59506,60,0,4,10,43008,2688000000,0,663.2129517,663.2129517,4.021293914,15.48991578,172947.8087
146,Bertie,146,2632,0.182777776,0,57,57,5.155775076,6.390358079,13570,48,5,23,5,29128,1820500000,0,306.7681885,306.7681885,0.749160861,5.078898326,21821.55757
147,Bethel,147,257477,17.88034708,0,50,50,0.050101562,0.887207453,12900,45,0,34,0,1703964,1.06E+11,0,267.0549316,267.0549316,0.009157496,0.837501591,15604.04339
148,Bexar,148,4365,0.303124998,0,63,63,40.36678121,20.74578461,176201,59,63,42,44,52354,3272125000,0,2920.33667,2920.33667,35.95821943,77.45014451,1882556.62
149,Bibb,149,3141,0.218124998,0,63,63,14.62941738,21.06218444,45951,60,0,24,5,36620,2288750000,0,993.5963745,993.5963745,4.887740071,20.09477305,178989.0414
150,Bienville,150,2970,0.206249998,0,55,55,2.698989899,5.661105321,8016,48,0,21,0,34237,2139812500,0,132.6203766,132.6203766,0.394694471,3.030211507,13513.15459
151,Big Horn,151,34825,2.418402758,0,55,55,0.824034458,3.329244273,28697,50,0,51,0,338975,21185937500,0,173.0832062,173.0832062,0.072066925,1.702402332,24428.88598
